"Gene name","wt.r1.rpkm","wt.r2.rpkm","wt.r3.rpkm","alg1.r1.rpkm","alg1.r2.rpkm","alg1.r3.rpkm"
"F39G3.1.1",7078.12,4265.43,7645.39,5719.56,5535.91,4775.03
"F39G3.2.1",1723.9,798.626,2661.52,3072.65,864.917,2899.24
"F39G3.3.1",20158.6,17423.5,19190.4,26706.9,24892.8,31629.8
"F39G3.4.1",0,0,0,1040.2,860.35,0
"F39G3.5a.1",4491.26,6567.55,6490.34,9139.53,5965.19,6682.36
"F39G3.5a.2",4792.54,6526.63,6449.9,10336.5,6690.88,6640.72
"F39G3.5b.1",2668.47,5946.66,4679.07,7539.92,4304.32,5562.14
"F39G3.6.1",31.7966,0,0,0,276.26,321.499
"F39G3.7.1",1548.68,4065.11,2716.22,3137.69,5293.83,3434.46
"F39G3.7.2",1541.34,4045.83,2703.35,3122.81,5427.05,3418.17
"F39G3.8.1",2785.68,2143.09,2481.72,3456.13,6011.19,6101.39
"F39G3.8.2",2389.31,1838.15,2128.6,3273.16,5264.42,5233.24
"F39H11.1.1",47095.4,46651.3,38199.1,41318.2,40496.9,41717.8
"F39H11.2a.1",8943.05,7510.18,11540.1,9830.89,10507.9,12247.3
"F39H11.2b.1",8032.34,7074.96,9879.07,9484.59,11034,10586.9
"F39H11.3.1",15214,15055.4,14542.9,14140.5,15452,9941.45
"F39H11.5.1",127281,118782,113423,95661.3,89891,121179
"F39H12.1.1",7487.12,5510.54,5270.46,5334.1,4406.89,3593.25
"F39H12.2.1",125.143,0,61.3998,1194.04,75.9373,0
"F39H12.2.2",236.826,0,116.196,862.235,143.707,0
"F39H12.3.1",48574.3,28432.2,33476.3,32857.6,38236.5,26494
"F39H12.4.1",15090,6732.18,9770.51,4837.12,8334.51,8119.17
"F39H2.1.1",16405.4,17959,13811,19749.5,20282.7,22514.4
"F39H2.1.2",15684.4,17095.6,13147,18800,19307.6,22867.3
"F39H2.2a.1",2509.09,2463.31,2818.17,2153.87,2102.57,1457.17
"F39H2.2a.2",2490.8,2445.35,3650.15,3255.21,2235.98,3548.37
"F39H2.2a.3",2321.59,2279.23,2607.57,1945.59,2007.83,1348.28
"F39H2.2b.1",1643.75,1924.74,1605.07,672.063,1041.2,1324.7
"F39H2.2b.2",1576.49,1845.98,1539.39,644.563,998.593,1270.5
"F39H2.2b.3",1722.39,2016.83,1681.86,704.216,1091.01,1388.08
"F39H2.3.1",7408.61,11863,8044.73,13161.3,14383.9,10609.5
"F39H2.3.2",9149.63,12797.9,8769.53,14305.2,16532.9,12308.7
"F39H2.4.1",5241.93,1196.55,4000.72,2946.13,4064.02,5999.95
"F39H2.4.2",4865.9,1181.61,3713.73,2734.79,4056.52,5569.55
"F39H2.4.3",5089.3,1161.71,3884.24,2860.35,4242.76,5825.26
"F39H2.5.1",4012.33,5730.03,4455.5,5020.4,5474.63,6005.28
"F39H2.5.2",4020.79,5742.11,4464.89,5177.88,5636.78,6017.95
"F40A3.1.1",14982.2,10377.7,9214.71,13058.9,13596.4,11806.5
"F40A3.1.2",13610.1,9427.28,8370.83,11863,13382.3,12082.3
"F40A3.1.3",9083.19,6714.61,6903.43,7297.75,6780.12,9490.93
"F40A3.2.1",25930.8,30234.9,32419.8,34679.5,28256,32231.6
"F40A3.3a.1",17285.7,18494.5,18330.2,10766.9,14064.4,10602.6
"F40A3.3a.2",17916.5,18608.5,18577.6,11334.7,15774.9,11892.1
"F40A3.3a.3",17720.6,18405,18292.8,10759.3,15577.6,11762.1
"F40A3.3b.1",17175.4,19845.9,19380.3,11078.6,16625,12887.5
"F40A3.3b.2",16137.3,18646.5,18574.6,10600.4,15620.2,12108.6
"F40A3.3c.1",17320.7,24458.1,18965.7,12612.5,15226.1,11496.7
"F40A3.4.1",5692.29,2313.28,1056.76,7300.89,2940.66,12000
"F40A3.5.1",2362.08,1497.33,1849.55,1630.31,761.53,879.797
"F40A3.5.2",3542.63,1480.81,1629.74,1590.08,767.916,2302.18
"F40A3.6.1",16946.6,18309.5,19411.8,14960.1,13512.1,20844.9
"F40A3.6.2",15265.3,18931,20260,14196.5,10191.4,19639.2
"F40A3.7.1",1464.79,1044.29,780.636,1331.66,4944.35,1799.65
"F40B1.1.1",1449.68,0,771.921,0,4530.42,1720.64
"F40B5.2a.1",9131.51,4749.78,3484.65,5393.47,5371.18,7859.44
"F40B5.2b.1",6255.19,8709.58,7332.49,7644.02,7825.84,12655.4
"F40B5.2b.2",5976.82,8948.88,7430.87,7349.57,7310.67,12331.1
"F40B5.3a.1",71.4328,6216.28,1226.67,0,496.507,0
"F40B5.3b.1",333.279,3769.86,499.478,119.819,0,0
"F40B5.3b.2",470.084,3630.56,410.961,169.002,0,0
"F40C5.1a.1",0,907.821,0,0,0,0
"F40C5.2.1",18524.7,6541.57,11130.7,14533.4,15399.1,18438.7
"F40C5.2.2",4001.85,1567.01,1581.68,1946.85,1848.86,2700.99
"F40C5.2.3",5020.14,1965.74,2599.91,3742.12,2319.3,4078.87
"F40C5.3.1",0,0,0,4772.67,564.604,6235.38
"F40D4.12.1",180.439,0,258.213,0,0,333.032
"F40D4.13.1",1490.3,28.0108,341.226,1768.09,1899.07,1435.1
"F40D4.17.1",4043.98,64.4139,1020.09,1581.19,6352.19,132.007
