"Gene name","wt.r1.rpkm","wt.r2.rpkm","wt.r3.rpkm","alg1.r1.rpkm","alg1.r2.rpkm","alg1.r3.rpkm"
"2L52.1a.1",372.113,916.934,429.358,1116.24,1860.07,1151.18
"2L52.1a.2",348.791,859.465,402.448,1046.28,1743.48,1079.03
"2L52.1b.1",249.679,485.465,542.108,567.47,1446.2,373.084
"2RSSE.1a.1",5143.16,4231.59,4213.97,11077,13385.2,17018.8
"2RSSE.1b.1",6335.67,5732.49,7294.3,19156.5,17196.8,20166.4
"2RSSE.1c.1",4551.49,4843.33,5346.56,11799.4,12363.3,10494.5
"3R5.1a.1",642.114,261.491,1421.21,1269.67,1834.84,803.832
"3R5.1b.1",1180.18,267.006,2301.88,2391.23,1316.54,820.786
"4R79.1a.1",2841.18,3590.38,2256.09,3139.68,1932.8,3027.01
"4R79.1b.1",32.4407,0,557.084,1496.74,450.971,812.221
"4R79.2a.1",315.049,798.112,0,722.267,920.352,923.331
"4R79.2b.1",207.018,1096.55,0,0,348.828,761.157
"AC3.10.1",403.01,132.118,407.727,518.902,162.86,45.1261
"AC3.10.2",433.452,738.908,438.526,558.098,175.162,48.5348
"AC3.10.3",440.255,144.328,445.408,566.856,177.911,49.2964
"AC3.12.1",3355.3,0,2400.77,0,1822,4038.79
"AC3.1a.1",0,0,0,0,0,272.132
"AC3.1b.1",0,0,0,0,0,293.307
"AC3.2.1",13699.6,17807.7,16831.8,18509.2,19504.1,13952.5
"AC3.3.1",1166,754.079,1478.39,11717.9,15293.9,10829.7
"AC3.4.1",465.216,756.232,3872.07,12281.7,6918.66,6404.98
"AC3.5a.1",48812.8,50669.4,57321.4,43442.5,41844.5,47536.6
"AC3.5b.1",35176.8,29857.6,35974.6,22772.3,27692.5,33149
"AC3.7.1",3771.8,13086.4,9359.65,6208.36,12187.2,14862.2
"AC3.8.1",8122.51,6028.26,7730.09,15000.6,14171.8,15777.2
"AC7.1a.1",0,0,0,1214.16,0,689.85
"AC7.1b.1",0,0,0,1331.13,0,0
"AC7.2a.1",9897.6,12140.9,7971.48,6334.85,6311.56,7146.97
"AC7.2a.2",11192.6,13674.1,9469.54,7381.26,7719.26,8154.06
"AC7.2b.1",4658.49,6382.59,4730.71,4776.78,3510.58,4355.54
"AC7.2c.1",3739.13,5606.53,4349.03,3349.53,3409.91,3923.75
"AC7.2c.2",3729.45,5592,4337.77,3340.85,3401.08,3913.59
"AC7.2d.1",4099.38,6146.69,4646.81,3615.76,3467.26,4301.79
"AC7.3.1",1021.18,2704.54,6270.46,1896.83,2849.91,2413.7
"AC8.10.1",1631.05,3065.63,3062.31,3784.14,4092.62,5927.6
"AC8.11.1",592.564,3062.81,1695.95,1668.78,2589.81,1841.54
"AC8.3.1",1456.2,1648.08,1631.24,3096.12,2589.35,3705.46
"AC8.4.1",592.564,3062.81,1695.95,1668.78,2589.81,1841.54
"AH10.1.1",13571,6875.74,11249,4784.14,4204.28,5409.54
"AH10.4.1",0,0,1328.33,139.047,0,0
"AH6.1.1",0,0,0,299.273,0,0
"AH6.11.1",0,0,0,0,1195.53,0
"AH6.2.1",3296.63,938.812,1143.65,1009.6,501.481,1859.83
"AH6.3.1",12948.7,8553.76,10059.2,7925.03,8620.37,7368.14
"AH6.4.1",0,0,0,0,37.4086,0
"AH6.5.1",7440.33,7701.31,10135.6,9331.76,11479.9,13083.3
"AH6.7.1",0,0,0,0,511.636,0
"AH9.1.1",0,0,554.74,976.93,0,1235.16
"AH9.2.1",1571.18,0,2698.08,2867.76,2100.15,2182.19
"AH9.3.1",7240.43,6184.21,4721.59,3576.16,5903.21,4871.76
"AH9.3.2",6395.27,5462.34,4170.45,2603.81,5214.14,5020.28
"AH9.4.1",0,0,0,498.659,525.863,631.404
"AH9.6.1",1040.98,2720.85,1750.36,2187.01,791.385,2850.65
"B0001.1a.1",16477.5,18424.2,12128.2,15037.6,21471.8,15882.2
"B0001.1a.2",12784.6,16342.6,9222.05,11296.6,14310.2,12437.2
"B0001.1b.1",10288.7,5612.28,8467.5,8613.08,14593.3,8872.6
"B0001.1c.1",10294.5,6631.68,9072.29,11401.5,19269.8,17015.6
"B0001.2.1",14330.9,9865.8,12856.7,12361.2,11393.5,12848.4
"B0001.3a.1",5096.42,7734.9,5267.78,6686.76,7075.05,7555.34
"B0001.3b.1",5256.75,7936.44,5520.63,7078.79,7535.87,8264.89
"B0001.3c.1",4982.75,5512.38,4599.17,6282.44,7163.12,4465.78
"B0001.4a.1",6571.53,7207.66,8002.13,8352.98,8025.57,9182.65
"B0001.4a.2",6059.88,6646.48,7379.09,7702.63,7422.77,8467.7
"B0001.4a.3",6079.6,6668.11,7403.11,7727.7,7446.93,8495.26
"B0001.4c.1",5869.22,4924.25,5265,8574.18,6734.18,6300.3
"B0001.5.1",6209.38,5701.97,8051.4,8983.9,7675.71,8166.99
"B0001.5.2",6903.18,5683.11,8150.56,8926.34,7648.32,9219.57
"B0001.6.1",17645.2,20159,19570.8,20253.9,21801.3,22086.7
"B0001.6.2",20556.8,23972.9,20901.7,22043.5,22054.9,23369.1
"B0001.7a.1",2898.01,3582.3,3558.29,4075.49,4894.26,4466.03
"B0001.7b.1",4639.97,3568.94,3728.95,3867.74,4639.1,3999.27
"B0001.7c.1",2315.92,3062.41,3097.11,4295.66,3537.58,7124.62
"B0001.8a.1",2165.72,2995.04,2208.76,2114.54,2247.71,2651.18
"B0001.8a.2",2048.35,2832.73,2089.06,1999.95,2125.9,2507.51
"B0001.8b.1",1759.87,2987.83,1900.1,1816.05,1705.74,1908.59
"B0001.8c.1",2810.28,866.721,2635.81,833.659,1952.88,3299.33
"B0001.8d.1",1402.57,2329.66,1859.19,1344.3,1620.19,2533.16
"B0001.8d.2",1389.2,2242.93,1344.71,1284.23,1897.52,1738.44
"B0001.8d.3",1028.1,2367.17,1853.04,1075.16,1114.51,1844.31
"B0019.1.1",6037.84,2641.43,5822.64,12723,15582.6,11542.5
"B0019.2.1",3963.63,3152.89,4438.11,6867.88,4524.5,5812.47
"B0019.2.2",3910.54,3110.67,4378.67,6775.9,4463.9,6023.76
"B0024.1.1",178257,127364,165863,36360.1,44424.8,54128.6
"B0024.1.2",173958,122802,161744,36290.9,43640.5,54025.5
"B0024.1.3",177126,125421,166368,36941.2,43620.5,55189.6
"B0024.13.1",18267.7,7454.31,22643,21908.2,13206.5,27477.9
"B0024.14a.1",1550.83,1139.39,1469.98,2327.52,2004.51,2225.45
"B0024.14b.1",3107.47,1303.57,2730.42,2478.51,3816.4,3029.78
"B0024.14d.1",1545.36,1060.9,1383.25,1379.61,1907.14,1947.68
"B0024.14f.1",1584.81,1170.28,1509.83,1314.84,1960.81,2099.51
"B0024.15.1",180.25,0,1538.28,324.012,1138.96,15.7795
"B0024.15.2",138.703,0,1183.71,249.329,1665.23,1226.38
"B0024.2.1",8379.94,8662.75,12871.3,28537.1,29466.9,31437.7
"B0024.3.1",0,1289,897.283,361.616,181.592,0
"B0024.4.1",14399.5,11550.1,11529,16922.2,11311.8,11459.1
"B0024.6a.1",0,0,0,0,62.8083,323.7
"B0024.6b.1",0,0,0,0,62.5772,322.509
"B0024.8a.1",876.518,481.208,353.258,929.464,1119.87,456.479
"B0024.8b.1",434.207,538.211,145.699,430.93,452.416,187.436
"B0024.8c.1",0,667.938,180.817,534.799,432.309,232.614
"B0024.8d.1",0,670.058,181.391,430.016,361.701,233.352
"B0024.9a.1",18290.2,16290.1,22471.5,24184.7,31385,23359.2
"B0024.9a.2",18857.6,15376.9,21795.3,23164.9,29551.8,22049.7
"B0024.9b.1",12534.7,11942.4,15736.9,19195.9,16726.1,14457.2
"B0025.1a.1",1808.32,3016.9,2292.21,2159.06,2070.98,2584.09
"B0025.1b.1",1645.28,2743.98,2118.3,2150.14,2055.77,2215.02
"B0025.1b.2",1739.95,2939.89,2186.18,2207.26,1986.93,2376.34
"B0025.1b.3",1739.33,2942.78,2185.4,2206.47,1986.22,2375.49
"B0025.1b.4",1634.89,2860.89,2215.85,1757.42,2001.53,2386.48
"B0025.1b.5",1700.23,2973.23,2172.66,2086.77,1957.12,2378.41
"B0025.1b.6",1614.22,2942.78,2247.06,1932.16,1968.74,2375.49
"B0025.1c.1",1688.51,3026.64,2216.79,1909.96,2018.66,2592.42
"B0025.2.1",17820.8,16137.7,17291.3,19514.7,20005.6,18910.2
"B0025.2.2",17387.7,15566.2,16489.9,16733.3,18447.4,18038.1
"B0025.4.1",13911.6,11828.6,26888.6,19608.7,29022.5,28764.5
"B0025.5.1",15215.3,13192.4,19181.4,7640.81,7658.96,5145.56
"B0034.1.1",4051.16,747.837,2774.44,16926.9,20238.8,8882.02
"B0034.3a.1",8003.12,9009.68,9875.06,12482.8,13177.6,13616
"B0034.3a.2",8637.85,9283.46,9205.31,12615.9,13947.3,13199.9
"B0034.3b.1",3373.99,4616.09,6859.15,6700.56,6442.16,7401.47
"B0034.3b.2",917.564,1377.33,1453.78,996.952,1353.17,399.572
"B0034.3c.1",3619.62,5177.67,7693.61,7236.34,6325.62,8301.92
"B0034.3c.2",781.693,1588.81,1238.29,970.534,926.609,463.899
"B0034.4.1",1591.06,3791.49,1170.95,1947.56,1349.46,465.112
"B0034.5.1",546.96,2978.28,110.501,0,37.272,1704.04
"B0034.7.1",13083.2,6509.25,2643.17,1578.12,2773.69,8646.15
"B0035.10.1",647446,551891,606538,723290,706094,694127
"B0035.10.2",551689,472315,528767,677181,636646,566518
"B0035.11.1",23964.2,14701.4,20642.4,16221.7,24493.2,15395.9
"B0035.12.1",9178.56,8538,8973.91,8008.48,7880.23,8814.76
"B0035.12.2",9608.4,8512.92,9864.94,8437.75,8644.43,9694.81
"B0035.12.3",9126.67,8489.73,8923.17,7963.2,7835.68,8764.92
"B0035.12.4",9233.19,8647.78,9054.74,8115.18,7848.06,8744.88
"B0035.13.1",57023.2,88501.6,41284.2,36178.7,38568.3,50216.9
"B0035.13.2",56348.3,89371,40268.7,35525,37954.7,51034.1
"B0035.14a.1",18002.1,19708.3,17014.7,18521.1,21180.3,20386
"B0035.14a.2",18638.9,19383.3,17399.2,18215.7,21239.7,20049.8
"B0035.14b.1",10896.3,9059.54,9406.48,14415.6,15932.5,14002.9
"B0035.15.1",18036.6,22404.9,24864.2,33103.6,32100.8,24971.1
"B0035.16.1",2223.57,949.842,3405.15,1256.21,2040.64,5144.49
"B0035.18.1",3575.65,8894.89,11317.3,9565.62,3411.22,14279.2
"B0035.1a.1",33934.6,37259.8,28890.8,28163.2,34384.8,26635.1
"B0035.1b.1",44379.3,45417.8,36498.8,38042.9,41620.6,34411.5
"B0035.2.1",11408.8,12573.1,8700.46,7096.26,9584.83,11561.3
"B0035.2.2",7822.52,7147.44,7235.79,5528.78,7045.07,6715.66
"B0035.2.3",8367.15,7213.34,7877.24,5579.75,6956.08,6806.01
"B0035.3.1",13236,13512.7,13204.7,11222.6,9316.96,9237.05
"B0035.3.2",13950.6,13503.9,12734.2,11828.5,9819.99,9735.76
"B0035.4.1",35102.1,30238.9,38971.3,40551.8,45244.2,43738.3
"B0035.4.2",34023.7,29625.1,35628.5,39055,43309.5,40484.1
"B0035.5.1",40924.1,56598,84710.6,39735,46379.3,61222
"B0035.6.1",5205.98,3967.19,6495.1,6657.21,7351.89,7284.44
"B0035.6.2",5123.57,3904.4,6679.58,6551.84,7348.57,7169.13
"B0035.7.1",323077,252876,304721,354345,349842,322673
"B0035.8.1",923494,773986,1053000,1213700,1258050,1108220
"B0035.9.1",933368,650688,872415,967549,945370,973234
"B0041.1.1",1094.89,1261.29,2880.92,174.593,1565,2950.44
"B0041.1.2",251.391,1282.5,1017.57,177.53,1591.33,769.47
"B0041.1.3",240.717,1228.04,0,67.9967,0,16.5572
"B0041.2a.1",2357.47,2706.64,2770.8,2713.26,2827.63,3179.4
"B0041.2a.2",2280.7,2569.54,2649.72,2583.22,2701.74,3018.35
"B0041.2a.3",2294.59,2585.18,2646.47,2591.51,2700.75,3096.54
"B0041.2a.4",2317.04,2733.94,2645.51,2623.43,2957.06,3013.55
"B0041.2b.1",2647.04,3108.53,3052.46,3264.1,3233.09,3361.96
"B0041.2c.1",2514.62,3098.26,3054.95,2997.28,3092.5,3370.6
"B0041.2c.2",2444.52,2958.88,2917.52,2862.44,2953.37,3278.92
"B0041.2c.3",2447.91,3016.06,2973.9,2948.18,3010.45,3281.17
"B0041.2c.4",1874.82,2133.11,2203.7,2207.68,2237.68,2520.94
"B0041.2d.1",2500.69,2740.21,2786.26,2997.61,2985.08,3184.53
"B0041.2e.1",2550.63,2641.05,2745.88,2973.03,2959.1,3109.86
"B0041.2f.1",2699.9,3016.44,3017.24,3231.47,3206.6,3290.66
"B0041.2g.1",2471.81,2994.76,2982.94,2909.51,3067.2,3288.81
"B0041.2g.2",2407.21,2918.61,2857.2,2766.36,2916.29,3126.99
"B0041.2g.3",2402.43,2857.65,2846.38,2776.31,2926.78,3199.26
"B0041.3.1",4042.86,8503.35,8081.27,6598.28,8103.09,9578.33
"B0041.4.1",1981780,1767940,1749950,2192850,2030000,1982070
"B0041.5a.1",14581.8,18279.5,14049.4,15798.7,16266.6,12412.4
"B0041.5c.1",9671.91,13457.9,12018.4,11979,13398.2,9763.47
"B0041.6a.1",10326.2,8526.94,4476.6,2752.48,8268.12,8115.88
"B0041.6b.1",10507.4,8676.53,4555.14,2800.76,7518.15,8258.26
"B0041.7.1",13521.6,14755.9,16221.4,13780.8,14112.4,14049.3
"B0041.7.2",12900.6,14169.6,15706.5,13124.2,13701.1,13379.9
"B0041.8.1",9189.33,8663.46,7282.32,12900.5,9046.85,12609.1
"B0041.8.2",5187.12,4558.45,6350.17,9728.91,9490.73,12180.2
"B0047.1.1",1750.78,0,0,0,1850.28,1183.12
"B0047.3.1",2921.77,3860.04,3151.01,2400.24,3041.34,3996.07
"B0047.4.1",920.002,1373.17,0,0,877.695,990.155
"B0198.1.1",3908.98,2620.62,1225.66,2855.43,1442.15,3716.26
"B0198.2a.1",434.946,587.578,715.784,967.537,803.03,248.685
"B0198.2b.1",441.418,596.321,1389.7,181.839,1358.3,252.385
"B0198.3a.1",825.851,814.756,1101.39,926.034,976.554,1300.14
"B0198.3a.2",816.323,805.356,1228.29,915.35,1183.07,1285.14
"B0198.3a.3",814.913,803.965,1086.81,913.768,1028.25,1282.92
"B0205.10.1",8153.28,6050.48,5232.8,6251.97,4082.19,3160.09
"B0205.10.2",6716.34,4618.59,3922.78,3986.78,3699.24,3253.16
"B0205.10.3",6934.55,4676.25,4083.63,4036.54,3745.42,3293.77
"B0205.11.1",14119.3,20068.3,18979.1,18790.9,16128.3,18978.1
"B0205.11.2",14178.8,20152.8,19059,18870,15938.5,19058
"B0205.11.3",13772.8,19609.6,18513.4,18329.8,15482.2,18512.3
"B0205.12.1",102337,100903,80796.7,96301.3,76148.6,94874.8
"B0205.13.1",5288.49,8989.8,7657.01,25117.5,22163.3,21400.2
"B0205.14.1",750.103,22.7395,609.425,4912.11,2915.2,4706.74
"B0205.14.2",250.034,7.57985,701.762,1637.37,1476.29,667.954
"B0205.14.3",680.892,20.6414,553.194,4458.87,2646.22,1776.66
"B0205.14.4",380.275,11.5281,1067.3,2490.26,1904.22,992.26
"B0205.1a.1",2148.34,2004.6,2188.94,2023.31,2478.59,3045.19
"B0205.1a.2",2115.17,1973.64,2155.14,2105.77,2440.32,2998.17
"B0205.1a.3",2173.28,2027.87,2167.53,2046.8,2507.37,3080.55
"B0205.1b.1",2199.52,1848.45,2110.19,1956.26,2502.83,2846.76
"B0205.1b.2",2158.92,1814.33,2153.95,2115.41,2456.64,2801.18
"B0205.3.1",21001.8,25101.1,24871.9,22286.3,17936,18216.5
"B0205.3.2",14421.9,15932,11641.6,11044.6,9544.01,11837.7
"B0205.3.3",21707.2,24661.4,24528.4,22921.7,18181.3,17897.4
"B0205.4.1",5342.67,9574.86,9218.94,2143.47,4096.23,2684.24
"B0205.5.1",0,0,0,0,3139.45,0
"B0205.6.1",38625.8,38010.3,31376.3,27631.6,34086.7,34873.5
"B0205.7.1",231519,244242,268138,291379,295547,254231
"B0205.8.1",5652.16,4953.28,4088.86,4433.91,9801.51,8414.68
"B0205.8.2",5109.07,4536.25,3695.98,4999.51,8859.73,8753.11
"B0205.9.1",4458.97,5102.84,4215.52,4297.82,6062.49,4104.53
"B0205.9.2",4226.59,4836.9,3995.83,4409.33,5746.54,3890.62
"B0207.1.1",4523.22,2692.73,5116.39,2042.96,793.293,1960.93
"B0207.11.1",2191.95,3970.06,1414.39,0,369.347,3300.48
"B0207.12a.1",458.985,489.594,426.099,803.838,410.692,570.338
"B0207.12a.2",529.617,564.937,491.67,919.061,473.893,658.106
"B0207.12a.3",525.99,532.326,485.493,878.249,843.002,668.552
"B0207.12a.4",872.469,511.44,445.112,839.706,1127.11,848.086
"B0207.12b.1",534.6,631.559,937.595,800.558,779.778,1248.08
"B0207.12c.1",169.23,175.045,319.543,742.643,602.136,495.131
"B0207.12c.2",147.821,280.316,572.826,474.779,683.611,434.664
"B0207.2.1",0,0,0,0,1150.36,1600.67
"B0207.2.2",0,0,0,0,903.46,1257.12
"B0207.3.1",1311.51,918.345,912.642,847.478,1578.89,24.7634
"B0207.4.1",7381.62,8328.88,5990.56,6193.62,6535.15,5462.63
"B0207.4.2",6936.13,9241.59,5798.06,6637.32,6140.74,5132.95
"B0207.5a.1",138.904,46.5137,157.193,18.9421,31.4429,32.2869
"B0207.5b.1",138.528,46.3876,156.767,18.8907,31.3576,32.1993
"B0207.6.1",13778.1,14122.4,10297.8,16280.5,14059.1,19386.2
"B0207.7.1",7567.87,10680.2,7185.4,1293.83,2274.03,8605.82
"B0207.9.1",1498.4,892.975,2301.15,1878.87,1778.15,3167.35
"B0207.9.2",1410.54,801.516,2290.79,1686.43,1596.03,4148.6
"B0212.1a.1",37.6597,415.85,301.796,43.4383,474.441,135.993
"B0212.1b.1",647.221,476.332,461.236,313.518,194.218,112.636
"B0212.1c.1",644.368,474.233,459.203,179.094,193.362,112.139
"B0212.1c.2",172.629,317.704,318.403,289.194,162.485,103.897
"B0212.2.1",0,0,0,0,402.097,0
"B0212.3.1",476.756,579.365,414.057,758.498,876.057,1435.34
"B0212.3.2",467.806,568.488,406.284,744.259,859.611,1408.4
"B0212.4a.1",773.591,578.481,341.105,697.778,519.137,526.545
"B0212.4b.1",595.649,510.201,327.291,615.417,598.365,353.163
"B0212.4c.1",773.664,667.86,393.808,805.589,538.041,462.295
"B0212.4d.1",509.758,576.339,235.275,376.981,721.279,524.594
"B0212.4d.2",301.653,577.622,235.799,507.113,518.367,273.9
"B0212.4d.3",787.049,588.546,347.04,578.18,415.486,535.705
"B0212.4d.4",756.716,326.424,362.144,400.642,538.902,758.554
"B0212.4d.5",196.061,396.852,440.277,487.082,655.172,341.292
"B0212.5.1",2450.83,656.417,1332.74,2939.97,3023.7,2218.45
"B0213.10.1",413.667,0,0,333.242,26.6229,2722.03
"B0213.11a.1",107.607,343.83,468.127,453.921,207.762,1126.03
"B0213.11b.1",106.373,0,316.622,112.178,205.378,1113.11
"B0213.11c.1",0,0,545.426,132.218,242.069,442.685
"B0213.12.1",602.806,0,0,0,232.773,0
"B0213.14.1",1019.78,2370.68,1929.39,1655.6,2275.67,1705.59
"B0213.14.2",1003.87,2333.7,1899.3,1629.78,2240.18,1678.99
"B0213.15a.1",1877.71,964.826,1360.92,3390.53,2866.91,2903.47
"B0213.15b.1",1499.93,2350.19,1544.5,2718.26,2693.75,2313.13
"B0213.15c.1",1435.61,36.4634,1199.33,2557.37,943.909,2279.16
"B0213.15d.1",0,5397.29,196.267,0,198.603,41.2723
"B0213.16.1",246.682,210.75,795.875,1714.59,1792.54,1554.84
"B0213.17.1",2880.07,7364.5,3757.24,32403.3,16294.1,7997.73
"B0213.17.2",6421.07,8704.4,3577.92,36928.7,15666.9,19370.6
"B0213.2.1",27840,29714.3,27418.7,62630.5,48666.4,89470
"B0213.2.2",29911.7,30582.6,28219.9,64460.6,46378.2,89551
"B0213.3.1",0,0,1569.84,3754.27,2077.3,8329.1
"B0213.4.1",19091.5,4778.27,16824.1,38139.3,22838.5,30309
"B0213.4.2",52248.1,41465.2,57427.8,97612.6,80888.6,112193
"B0213.4.3",4922.63,2328.19,2909.86,13487.2,7640.75,11742.4
"B0213.5.1",19330,11963.7,10958.8,18342.5,7488.07,20669.1
"B0213.6.1",57259.6,61886.2,57145.7,42631.7,50405.2,54913.2
"B0218.1.1",6505.09,7014.95,6033.06,5740.47,6345.06,9496.47
"B0218.1.2",6391.11,6912.57,5603.45,5368,6473.06,9153.1
"B0218.1.3",6313.91,6191.03,5565.12,4603.81,6002.21,9056.56
"B0218.1.4",6244.75,6734.21,5968.6,5510.73,6778.86,9301.02
"B0218.2.1",76038.3,94722.6,66480,29189.2,24249.9,33431.6
"B0218.3.1",3193.39,4161.64,3525.51,5211.76,4813.44,7862.38
"B0218.3.2",2911.04,3226.09,2770.26,4235.49,5238.88,5530.98
"B0218.3.3",3252,2853.34,2743.46,4202.01,5569.77,4695.51
"B0218.5.1",1403.83,3374.3,4450.52,1850.55,3033.6,2963.64
"B0218.6a.1",15698.4,20607.8,20759.6,31234.4,23387.4,21785.7
"B0218.6b.1",7807.11,13025,11615.9,18873.9,10088.9,11616.2
"B0218.7.1",24139.8,10567.9,14696.9,4070.08,7793.59,7135.69
"B0218.8.1",20033.8,30690.9,11389,5878.7,4888,7036.22
"B0222.1.1",757.261,2304.4,1940.27,2424.29,1629.17,0
"B0222.11.1",2644.94,2982.77,211.96,174.331,1685.21,0
"B0222.3.1",390.969,2224.94,3133.13,1832.47,1383.91,2509.93
"B0222.4.1",2445.47,1775.02,1479.48,1284.22,1865.6,823.257
"B0222.5.1",5023.03,6732.7,7578.98,14341.4,14748.4,25121.2
"B0222.6.1",135277,99549.9,156715,453128,417553,370342
"B0222.6.2",96411.4,76367.7,115982,307201,293998,258050
"B0222.6.3",98973.3,78567.5,118531,314590,301966,262068
"B0222.6.4",98194.2,77909.1,117853,312592,300329,260958
"B0222.6.5",102341,81554.4,122468,325461,312268,271813
"B0222.6.6",101800,81123.2,121832,323740,310643,270401
"B0222.6.7",98804.4,78724.2,118283,314189,301670,262377
"B0222.6.8",140773,109535,171737,429846,419800,371820
"B0222.7.1",144036,98026.8,150970,359785,300551,287143
"B0222.8.1",63386.4,51843.3,77636.6,201364,203818,196627
"B0222.8.10",52693,44075,62911.6,177139,171215,160708
"B0222.8.11",55010,45713.4,65520.5,184300,179661,167251
"B0222.8.12",54848.6,45801.8,65439,184888,179110,167069
"B0222.8.13",61369.7,50064.4,75687,195984,199266,190428
"B0222.8.14",67840.5,55659.2,82784.5,215981,218562,211291
"B0222.8.15",67958,55691,82980.2,216292,218869,211597
"B0222.8.16",52673.1,44275.7,63262.3,177567,172461,161576
"B0222.8.17",57251.9,47489.6,68194.6,192202,187283,174041
"B0222.8.18",57087.3,47636,68341.8,193105,187932,174255
"B0222.8.19",58063.8,48404.9,69611,196657,191422,178501
"B0222.8.2",63875.5,52272.4,77813.2,202781,205345,198136
"B0222.8.20",54502.6,45753.6,65137.6,183504,177609,166881
"B0222.8.21",68506,56223.3,83711.3,218139,220798,213240
"B0222.8.3",63816.3,52224,77741.1,202578,205143,197950
"B0222.8.4",63641.7,52079.2,77525.5,202100,204650,197445
"B0222.8.5",52354.1,43595.2,62828.9,176080,170638,159240
"B0222.8.6",53695.1,44518.1,64284.9,179848,175064,163295
"B0222.8.7",47203.2,37891.4,55782.2,151709,148042,137929
"B0222.8.8",53938.5,44950.1,64413.8,181203,176378,163886
"B0222.8.9",46428.4,39428.4,55626.7,156507,152845,143233
"B0222.9.1",11764.9,19514.2,15006.9,10868.2,8739.55,10773.7
"B0228.1.1",1911.16,2930.4,3569.79,2950.26,4369.68,7603.65
"B0228.4a.1",14549.1,13801.7,16550.8,14172.9,15527.6,13906.4
"B0228.4c.1",19554.5,17677.7,17665,16969.4,18765.9,16140.3
"B0228.4d.1",11940.7,11763.3,14753.2,12739.8,13087.4,12059.3
"B0228.4e.1",16273.6,11626.9,12317.7,12908.2,14897,11114
"B0228.5a.1",0,0,0,0,258.777,0
"B0228.5b.1",0,223.331,0,548.216,240.885,0
"B0228.6.1",2042.84,0,1188.52,2383.89,1668.21,6804.52
"B0228.7.1",14913,18783,12746.8,11327.1,11231.5,13092.9
"B0228.7.2",23061.8,25350.6,19141.7,15823.7,15854.5,20315.7
"B0228.7.3",16132.1,17473.4,13449.3,11166.3,11201.7,14821.5
"B0238.1.1",5777.75,12212.4,8262.56,4603.15,4304.39,6200.69
"B0238.11.1",27706,26436.7,25699.1,32413.8,38679.2,37579.2
"B0238.11.2",25345.4,27451.1,24509,30872.8,36035.8,34991.2
"B0238.12.1",281.131,208.251,715.632,623.467,463.608,146.507
"B0238.12.2",557.796,433.598,701.647,208.788,917.411,305.041
"B0238.12.3",524.189,407.474,659.373,639.811,862.137,286.662
"B0238.12.4",336.837,261.838,423.705,126.081,582.903,184.205
"B0238.6.1",0,0,0,0,0,488.644
"B0238.9.1",8537.06,7891.63,10662.8,13440,12387.4,15231.3
"B0240.1.1",1295.42,477.859,443.523,1819.37,364.651,3229.37
"B0240.1.2",1266.69,467.261,1138.43,1779.02,356.564,3157.75
"B0240.2.1",2758.02,1628.09,2475.19,1571.2,594.05,1908.5
"B0240.3a.1",83.0694,4.33701,42.2666,273.759,42.7695,4.44404
"B0240.3b.1",100.245,5.23376,0,168.852,51.6128,5.36292
"B0240.4.1",21837.6,18525.7,19622.5,20491.1,16512.1,18490.9
"B0244.10a.1",1752.45,1232.12,386.387,1454.51,1428.6,837.521
"B0244.10b.1",1995.02,1402.68,203.018,1227.28,1181.24,953.453
"B0244.16.1",0,0,0,257.295,602.96,31.3258
"B0244.17.1",1197.64,3001.36,1942.38,1798.03,4393.45,1633.82
"B0244.2.1",17541.7,19943.2,17340.2,19261.1,18182.1,19704.2
"B0244.4a.1",0,0,147.047,0,0,0
"B0244.4b.1",0,0,131.072,0,0,0
"B0244.5.1",56.6409,0,356.641,1306.64,0,409.074
"B0244.6.1",720.271,323.73,1147.25,825.631,2539.47,633.282
"B0244.7.1",0,0,331.503,2205.45,1192.7,0
"B0244.8.1",4769.39,4426.8,4381.56,11694.5,5246.55,8127.08
"B0244.9.1",6299.15,6338.86,5807.42,955.29,1420.7,2898.73
"B0250.1.1",2685240,2326520,2240400,2688060,2449990,2468000
"B0250.2.1",2636.02,4168.09,3880,3033.61,1599.55,2780.15
"B0250.5.1",32875.1,26499.8,23659.4,24255.9,24400.7,29861.8
"B0250.5.2",47702.1,43278.5,48717,39575.7,43848.5,39264.7
"B0250.6.1",0,0,0,218.036,0,0
"B0250.7b.1",0,21506.6,0,11511.2,0,4059.5
"B0250.8.1",0,0,0,604.011,589.781,0
"B0250.9.1",674.005,1594.7,1779.26,1379.77,1102.3,1695.14
"B0250.9.2",669.484,1584.01,1767.32,1962.33,1094.91,1683.78
"B0250.9.3",669.035,1582.95,1766.14,1369.6,1094.18,1682.65
"B0252.1.1",4813.72,6804.19,5946.32,2230.45,3707.5,1351.48
"B0252.11.1",4653.1,0,887.83,0,0,0
"B0252.2.1",1050.37,2390.79,1191.45,2489.77,1345.17,9.2795
"B0252.2.2",1027.32,2338.34,1165.32,2435.15,1315.66,9.07593
"B0252.3a.1",588.659,285.301,883.714,549.045,735.542,732.636
"B0252.3a.2",386.84,295.562,961.337,460.19,586.581,499.712
"B0252.3a.3",476.218,428.335,1036.39,546.96,586.267,499.444
"B0252.3b.1",766.594,432.595,952.306,637.859,720.104,717.26
"B0252.3c.1",784.016,442.426,973.949,652.355,736.47,733.561
"B0252.3c.2",720.349,406.498,894.858,599.38,676.664,673.991
